Id,Designator,Package,Quantity,Designation,Ordered,Supplier and ref
1,"C1,C2,C3,C4,C5,C6,C7,C9,C10,C11,C13",C_0603_HandSoldering,11,.01uF,,CC0603KRX7R9BB101
2,"C8,C12,C14",C_0603_HandSoldering,3,10uF,,LMK107BBJ106MALT
3,D1,APA102C,1,APA102C,x,
4,J2,1985250_phoenix_8pos_3.5mm,1,CONN_01X08,,1985250
5,"J3,J7,J8,J9",1985218_phoenix_4pos_3.5mm,4,CONN_01X04,,1985218
6,J4,1985218_phoenix_4pos_3.5mm,1,CONN_01X03,,1985218
7,"J5,J11,J12,J17",Pin_Header_Straight_1x04_Pitch2.54mm,4,CONN_01X04,,
8,"J6,J13,J14,J15,J16",Pin_Header_Straight_1x03_Pitch2.54mm,5,CONN_01X03,,
9,J10,Pin_Header_Straight_1x06_Pitch2.54mm,1,CONN_01X06,,
10,R1,R_0603_HandSoldering,1,120,,CRCW0603120RFKEAHP
11,R2,R_0603_HandSoldering,1,3k3,x,ESR03EZPJ332
12,R3,R_0603_HandSoldering,1,1k,,ESR03EZPJ102
13,"R4,R5",R_0603_HandSoldering,2,562,,
14,"R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21",R_0603_HandSoldering,16,10k,,
15,R22,R_0603_HandSoldering,1,470,,
16,"R23,R24,R25",R_0603_HandSoldering,3,4k7,,
17,"RV1,RV2,RV3,RV4,RV5,RV6",BOURNS_SLIDE_POT_45MM,6,POT,,
18,"SW1,SW2,SW3,SW4",BOURNS_PEC11R_ENCODER,4,Rotary_Encoder,,
19,U1,SOIC-8-N,1,MAX485CSA+,,MAX485CSA+
20,U2,ROE-0505S,1,ROE-0505S,,ROE-0505S
21,U3,DIP762W50P254L977H451Q8,1,6N137,,6N137
22,U4,Teensy35_36,1,Teensy3.5,x,
23,J1,NC3FAH,1,XLR3,,
24,"H4,H3,H2,H1",HOLE_M4,4,HOLE,x,
